Causas (lista reducida);Sexo;Edad;Lugar de residencia;Total
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;3
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 80 a 84 años;Otra Comunidad Autónoma;8
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 80 a 84 años;Extranjero;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 85 a 89 años;Mismo municipio;135
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 85 a 89 años;Otro municipio de la misma provincia;92
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;7
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 85 a 89 años;Otra Comunidad Autónoma;6
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 85 a 89 años;Extranjero;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 90 a 94 años;Mismo municipio;92
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 90 a 94 años;Otro municipio de la misma provincia;50
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 90 a 94 años;Otra Comunidad Autónoma;3
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 90 a 94 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 95 años y más;Mismo municipio;29
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 95 años y más;Otro municipio de la misma provincia;12
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 95 años y más;Otra Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Hombres;De 95 años y más;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Menores de 1 año;Mismo municipio;6
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Menores de 1 año;Otro municipio de la misma provincia;4
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;4
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Menores de 1 año;Otra Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;Menores de 1 año;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 1 a 4 años;Mismo municipio;4
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 1 a 4 años;Otro municipio de la misma provincia;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 1 a 4 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 1 a 4 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 5 a 9 años;Mismo municipio;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 5 a 9 años;Otro municipio de la misma provincia;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 5 a 9 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 5 a 9 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 10 a 14 años;Mismo municipio;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 10 a 14 años;Otro municipio de la misma provincia;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 10 a 14 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 10 a 14 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 15 a 19 años;Mismo municipio;3
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 15 a 19 años;Otro municipio de la misma provincia;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 15 a 19 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 15 a 19 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 20 a 24 años;Mismo municipio;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 20 a 24 años;Otro municipio de la misma provincia;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 20 a 24 años;Otra provincia de la misma Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 20 a 24 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 20 a 24 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 25 a 29 años;Mismo municipio;6
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 25 a 29 años;Otro municipio de la misma provincia;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 25 a 29 años;Otra provincia de la misma Comunidad Autónoma;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 25 a 29 años;Otra Comunidad Autónoma;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 25 a 29 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 30 a 34 años;Mismo municipio;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 30 a 34 años;Otro municipio de la misma provincia;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 30 a 34 años;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 30 a 34 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 30 a 34 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 35 a 39 años;Mismo municipio;4
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 35 a 39 años;Otro municipio de la misma provincia;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 35 a 39 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 35 a 39 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 40 a 44 años;Mismo municipio;7
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 40 a 44 años;Otro municipio de la misma provincia;4
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 40 a 44 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 40 a 44 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 45 a 49 años;Mismo municipio;14
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 45 a 49 años;Otro municipio de la misma provincia;3
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 45 a 49 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 45 a 49 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 50 a 54 años;Mismo municipio;18
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 50 a 54 años;Otro municipio de la misma provincia;3
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 50 a 54 años;Otra provincia de la misma Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 50 a 54 años;Otra Comunidad Autónoma;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 50 a 54 años;Extranjero;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 55 a 59 años;Mismo municipio;23
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 55 a 59 años;Otro municipio de la misma provincia;12
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 55 a 59 años;Otra provincia de la misma Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 55 a 59 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 55 a 59 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 60 a 64 años;Mismo municipio;34
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 60 a 64 años;Otro municipio de la misma provincia;14
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 60 a 64 años;Otra provincia de la misma Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 60 a 64 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 60 a 64 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 65 a 69 años;Mismo municipio;60
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 65 a 69 años;Otro municipio de la misma provincia;23
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 65 a 69 años;Otra provincia de la misma Comunidad Autónoma;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 65 a 69 años;Otra Comunidad Autónoma;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 65 a 69 años;Extranjero;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 70 a 74 años;Mismo municipio;75
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 70 a 74 años;Otro municipio de la misma provincia;34
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 70 a 74 años;Otra provincia de la misma Comunidad Autónoma;2
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 70 a 74 años;Otra Comunidad Autónoma;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 70 a 74 años;Extranjero;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 75 a 79 años;Mismo municipio;104
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 75 a 79 años;Otro municipio de la misma provincia;59
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 75 a 79 años;Otra provincia de la misma Comunidad Autónoma;3
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 75 a 79 años;Otra Comunidad Autónoma;5
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 75 a 79 años;Extranjero;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 80 a 84 años;Mismo municipio;221
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 80 a 84 años;Otro municipio de la misma provincia;133
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;6
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 80 a 84 años;Otra Comunidad Autónoma;8
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 80 a 84 años;Extranjero;0
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 85 a 89 años;Mismo municipio;261
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 85 a 89 años;Otro municipio de la misma provincia;148
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;9
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 85 a 89 años;Otra Comunidad Autónoma;6
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 85 a 89 años;Extranjero;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 90 a 94 años;Mismo municipio;249
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 90 a 94 años;Otro municipio de la misma provincia;126
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;5
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 90 a 94 años;Otra Comunidad Autónoma;13
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 90 a 94 años;Extranjero;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 95 años y más;Mismo municipio;143
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 95 años y más;Otro municipio de la misma provincia;68
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;4
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 95 años y más;Otra Comunidad Autónoma;1
045 Otras enfermedades endocrinas, nutricionales y metabólicas;Mujeres;De 95 años y más;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;Menores de 1 año;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;Menores de 1 año;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;Menores de 1 año;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;Menores de 1 año;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 1 a 4 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 1 a 4 años;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 1 a 4 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 1 a 4 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 5 a 9 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 5 a 9 años;Otro municipio de la misma provincia;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 5 a 9 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 5 a 9 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 10 a 14 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 10 a 14 años;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 10 a 14 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 10 a 14 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 15 a 19 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 15 a 19 años;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 15 a 19 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 15 a 19 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 20 a 24 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 20 a 24 años;Otro municipio de la misma provincia;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 20 a 24 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 20 a 24 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 20 a 24 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 25 a 29 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 25 a 29 años;Otro municipio de la misma provincia;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 25 a 29 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 25 a 29 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 25 a 29 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 30 a 34 años;Mismo municipio;2
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 30 a 34 años;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 30 a 34 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 30 a 34 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 30 a 34 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 35 a 39 años;Mismo municipio;4
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 35 a 39 años;Otro municipio de la misma provincia;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 35 a 39 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 35 a 39 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 35 a 39 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 40 a 44 años;Mismo municipio;10
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 40 a 44 años;Otro municipio de la misma provincia;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 40 a 44 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 40 a 44 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 40 a 44 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 45 a 49 años;Mismo municipio;24
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 45 a 49 años;Otro municipio de la misma provincia;6
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 45 a 49 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 45 a 49 años;Otra Comunidad Autónoma;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 45 a 49 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 50 a 54 años;Mismo municipio;25
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 50 a 54 años;Otro municipio de la misma provincia;14
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 50 a 54 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 50 a 54 años;Otra Comunidad Autónoma;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 50 a 54 años;Extranjero;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 55 a 59 años;Mismo municipio;46
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 55 a 59 años;Otro municipio de la misma provincia;18
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 55 a 59 años;Otra provincia de la misma Comunidad Autónoma;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 55 a 59 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 55 a 59 años;Extranjero;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 60 a 64 años;Mismo municipio;49
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 60 a 64 años;Otro municipio de la misma provincia;27
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 60 a 64 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 60 a 64 años;Otra Comunidad Autónoma;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 60 a 64 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 65 a 69 años;Mismo municipio;122
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 65 a 69 años;Otro municipio de la misma provincia;56
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 65 a 69 años;Otra provincia de la misma Comunidad Autónoma;5
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 65 a 69 años;Otra Comunidad Autónoma;2
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 65 a 69 años;Extranjero;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 70 a 74 años;Mismo municipio;204
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 70 a 74 años;Otro municipio de la misma provincia;107
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 70 a 74 años;Otra provincia de la misma Comunidad Autónoma;4
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 70 a 74 años;Otra Comunidad Autónoma;3
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 70 a 74 años;Extranjero;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 75 a 79 años;Mismo municipio;376
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 75 a 79 años;Otro municipio de la misma provincia;249
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 75 a 79 años;Otra provincia de la misma Comunidad Autónoma;9
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 75 a 79 años;Otra Comunidad Autónoma;9
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 75 a 79 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 80 a 84 años;Mismo municipio;914
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 80 a 84 años;Otro municipio de la misma provincia;478
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 80 a 84 años;Otra provincia de la misma Comunidad Autónoma;19
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 80 a 84 años;Otra Comunidad Autónoma;12
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 80 a 84 años;Extranjero;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 85 a 89 años;Mismo municipio;1.363
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 85 a 89 años;Otro municipio de la misma provincia;681
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 85 a 89 años;Otra provincia de la misma Comunidad Autónoma;39
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 85 a 89 años;Otra Comunidad Autónoma;22
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 85 a 89 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 90 a 94 años;Mismo municipio;1.077
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 90 a 94 años;Otro municipio de la misma provincia;511
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 90 a 94 años;Otra provincia de la misma Comunidad Autónoma;19
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 90 a 94 años;Otra Comunidad Autónoma;31
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 90 a 94 años;Extranjero;1
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 95 años y más;Mismo municipio;425
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 95 años y más;Otro municipio de la misma provincia;150
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 95 años y más;Otra provincia de la misma Comunidad Autónoma;13
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 95 años y más;Otra Comunidad Autónoma;12
046-049 V.Trastornos mentales y del comportamiento;Hombres;De 95 años y más;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Menores de 1 año;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Menores de 1 año;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Menores de 1 año;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Menores de 1 año;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;Menores de 1 año;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 1 a 4 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 1 a 4 años;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 1 a 4 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 1 a 4 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 1 a 4 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 5 a 9 años;Mismo municipio;1
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 5 a 9 años;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 5 a 9 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 5 a 9 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 5 a 9 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 10 a 14 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 10 a 14 años;Otro municipio de la misma provincia;2
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 10 a 14 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 10 a 14 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 10 a 14 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 15 a 19 años;Mismo municipio;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 15 a 19 años;Otro municipio de la misma provincia;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 15 a 19 años;Otra provincia de la misma Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 15 a 19 años;Otra Comunidad Autónoma;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 15 a 19 años;Extranjero;0
046-049 V.Trastornos mentales y del comportamiento;Mujeres;De 20 a 24 años;Mismo municipio;0
